,analysis_sample_rate,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_mbtags,artist_mbtags_count,artist_name,artist_playmeid,artist_terms,artist_terms_freq,artist_terms_weight,audio_md5,bars_confidence,bars_start,beats_confidence,beats_start,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,release,release_7digitalid,sections_confidence,sections_start,segments_confidence,segments_loudness_max,segments_loudness_max_time,segments_loudness_start,segments_pitches,segments_start,segments_timbre,similar_artists,song_hotttnesss,song_id,start_of_fade_out,tatums_confidence,tatums_start,tempo,time_signature,time_signature_confidence,title,track_7digitalid,track_id,year,genre
33,22050,16838,0.5237146369702328,0.3846110839616365,b'AR0RCMP1187FB3F427',30.08615,"b'Beaumont, TX'",-94.10158,b'615d51ca-3d06-43dc-b956-4d76099f4b5e',"(0,)","(0,)",b'Billie Jo Spears',56462,"(32,)","(32,)","(32,)",b'8b99765c6ea21c447b787845282bd16b',"(352,)","(352,)","(352,)","(352,)",0.0,133.32853,0.0,0.0,4,0.384,-9.982999999999999,1,0.402,b'20 Of Her Best',663761,"(6,)","(6,)","(492,)","(492,)","(492,)","(492,)","(492, 12)","(492,)","(492, 12)","(100,)",0.0,b'SOGXHEG12AB018653E',130.009,"(704,)","(704,)",160.839,1,0.0,b'It Makes No Difference Now',7357260,b'TRAACTB12903CAAF15',1992,Country
41,22050,240277,0.6686745328613157,0.4675384440100101,b'ARWYVP51187B98C516',42.33168,"b'Detroit, MI'",-83.04791999999999,b'c6d2cbdf-30e7-4233-a1b4-e892f116ada1',"(0,)","(0,)",b'The Suicide Machines',-1,"(35,)","(35,)","(35,)",b'1471d168999432ec6360889940e3e0e1',"(41,)","(41,)","(168,)","(168,)",0.0,95.68608,0.0,0.0,2,0.42100000000000004,-2.022,1,0.589,b'A Match & Some Gasoline',706005,"(4,)","(4,)","(284,)","(284,)","(284,)","(284,)","(284, 12)","(284,)","(284, 12)","(100,)",0.5287824809425877,b'SONYRZV12AB018AF70',87.806,"(337,)","(337,)",115.887,4,0.7440000000000001,b'Burning In The Aftermath',7830058,b'TRAADLH12903CA70EE',2003,Rock
42,22050,522,0.8148296561331122,0.7357656929506414,b'ARFCUN31187B9AD578',51.50632,"b'London, England'",-0.12714,b'b071f9fa-14b0-4217-8e97-eb41da73f598',"(13,)","(13,)",b'The Rolling Stones',10490,"(29,)","(29,)","(29,)",b'7bbefe182a5d8a70b5b72a64a14f6c1b',"(616,)","(616,)","(616,)","(616,)",0.0,271.49016,0.171,0.0,9,0.301,-10.357999999999999,0,0.392,"b""Jump Back - The Best Of The Rolling Stones_ '71-'93""",42595,"(12,)","(12,)","(847,)","(847,)","(847,)","(847,)","(847, 12)","(847,)","(847, 12)","(100,)",0.8344926198909054,b'SONQBUB12A6D4F8ED0',263.784,"(1232,)","(1232,)",139.333,1,0.0,b'Angie (1993 Digital Remaster)',453879,b'TRAADLN128F14832E9',0,Rock
45,22050,6186,0.7011808736075507,0.4666288889016846,b'AR7TTS41187B9B42D3',34.36401,"b'Oxford, MS'",-89.51876999999999,b'355eed00-6c40-4d33-940a-600b2597407a',"(3,)","(3,)",b'R.L. Burnside',26588,"(50,)","(50,)","(50,)",b'ff6a3b61c73903e886d364ac05531d51',"(103,)","(103,)","(416,)","(416,)",0.0,277.78567000000004,0.24,0.0,2,0.0,-6.944,1,0.0,b'A Bothered Mind',557761,"(11,)","(11,)","(1030,)","(1030,)","(1030,)","(1030,)","(1030, 12)","(1030,)","(1030, 12)","(100,)",0.482137585065015,b'SOTWVQT12A58A79650',267.453,"(831,)","(831,)",89.984,4,0.0,b'Glory Be',6169318,b'TRAADMH128F9343E59',2004,Blues
46,22050,48814,0.7337989404362274,0.544257505724526,b'ART3O5Z1187B9AB043',32.77815,"b'Dallas, TX'",-96.7954,b'f5426431-f490-4678-ad44-a75c71097bb4',"(1,)","(1,)",b'Stevie Ray Vaughan',9729,"(11,)","(11,)","(11,)",b'a77e2966eaa31170f28ece01fcee24b4',"(119,)","(119,)","(479,)","(479,)",0.0,248.78975,0.183,0.0,1,0.754,-7.805,1,0.597,b'Greatest Hits',417945,"(12,)","(12,)","(823,)","(823,)","(823,)","(823,)","(823, 12)","(823,)","(823, 12)","(100,)",,b'SOTSEJY12AB0180F56',246.19,"(958,)","(958,)",116.721,4,0.522,b'Crossfire',4659073,b'TRAADNA128F9331246',1992,Blues
51,22050,2800,0.6697261875661445,0.4279142469829548,b'ARGMXQW1187FB54C34',-23.56287,"b'Sao Paulo, Brazil'",-46.65466,b'9974cbc1-6a00-4a97-8a36-e4a25bfe0293',"(2,)","(2,)",b'Eliane Elias',14229,"(49,)","(49,)","(49,)",b'61c1d3f9dc9caf347132097986f1618d',"(70,)","(70,)","(359,)","(359,)",0.0,251.42812,0.071,0.0,7,0.391,-12.009,1,0.319,b'Bossa Nova Stories',322532,"(9,)","(9,)","(887,)","(887,)","(887,)","(887,)","(887, 12)","(887,)","(887, 12)","(100,)",0.4348380902608562,b'SOPHYIS12AAF3B35A3',237.59799999999998,"(1075,)","(1075,)",86.09100000000001,5,0.551,b'The More I See You',3635000,b'TRAADYB128F92D7E73',2009,Jazz
56,22050,364953,0.4114210482617737,0.3384148184832545,b'ARINEWW1187FB5577E',,b'',,b'2f3532b3-febc-4ab2-8f97-fbeebbaa1fe7',"(0,)","(0,)",b'Perrey And Kingsley',-1,"(39,)","(39,)","(39,)",b'71d2fb37641b20f96955402be7eab02f',"(50,)","(50,)","(203,)","(203,)",0.0,122.64443999999999,0.99,0.0,0,0.61,-8.541,0,0.489,b'Vanguard Visionaries',617077,"(8,)","(8,)","(537,)","(537,)","(537,)","(537,)","(537, 12)","(537,)","(537, 12)","(100,)",0.4348380902608562,b'SOXIATP12AAF3B2184',109.62700000000001,"(815,)","(815,)",102.538,4,0.8690000000000001,b'Spooks In Space',6856216,b'TRAAELO128F9302DD1',1966,Electronic
57,22050,3041,0.7510076200369779,0.5236990777653908,b'ARDGB6U1187FB3AD07',51.50632,"b'London, England'",-0.12714,b'b4d32cff-f19e-455f-86c4-f347d824ca61',"(9,)","(9,)",b'Eurythmics',576,"(23,)","(23,)","(23,)",b'6ad09a99e119960fe234a19e890f8742',"(55,)","(55,)","(279,)","(279,)",0.0,207.0722,2.583,0.0,0,0.442,-6.629,1,0.371,b'Be Yourself Tonight',278999,"(5,)","(5,)","(742,)","(742,)","(742,)","(742,)","(742, 12)","(742,)","(742, 12)","(100,)",0.3829350900750193,b'SOGNQWU12A8AE4868F',202.757,"(837,)","(837,)",84.164,4,0.853,b'Tous Les Gar\xc3\xa7ons Et Les Filles',3107981,b'TRAAEMJ128F425A917',1985,Pop
58,22050,13801,0.548585130198109,0.3835242473277272,b'AR2J2WF1187FB46271',54.48303000000001,"b'Egremont, Cumbria, England'",-3.53444,b'211256ad-1a39-4bb9-a216-24a2d985343e',"(0,)","(0,)",b'Francis Dunnery',42151,"(31,)","(31,)","(31,)",b'7f6863d6bb4c426234987f1528300b57',"(154,)","(154,)","(625,)","(625,)",0.0,300.79955,0.0,0.0,7,0.6659999999999999,-13.33,1,0.6579999999999999,b'Hometown 2001',19601,"(11,)","(11,)","(1095,)","(1095,)","(1095,)","(1095,)","(1095, 12)","(1095,)","(1095, 12)","(100,)",0.6104742577715245,b'SOYQOFI12A6D4F76E1',298.347,"(1250,)","(1250,)",124.175,4,0.698,b'Too Much Saturn',205540,b'TRAAENC128F1451DE9',1995,Rock
63,22050,1246,0.8457688664485438,0.7888059351620142,b'ARF2EHS1187B994F4E',36.16778,"b'Nashville, Tennessee'",-86.77835999999999,b'6ffb8ea9-2370-44d8-b678-e9237bbd347b',"(10,)","(10,)",b'Kings Of Leon',1858,"(23,)","(23,)","(23,)",b'2c5618de2a1419e40855a8454abcb6dc',"(89,)","(89,)","(361,)","(361,)",0.0,187.92444,0.32799999999999996,0.0,0,0.612,-5.907,1,0.735,b'Holy Roller Novocaine',449471,"(8,)","(8,)","(504,)","(504,)","(504,)","(504,)","(504, 12)","(504,)","(504, 12)","(100,)",0.6859402266976852,b'SOLGHDZ12AB0183B11',180.34400000000002,"(722,)","(722,)",116.823,4,0.34700000000000003,b'Wicker Chair',4989932,b'TRAAEWG128F930B3A4',2003,Rock
66,22050,33328,0.7788167165625715,0.5542914890128156,b'AR06EB01187FB40150',,"b'Berkeley, CA'",,b'dcaa4f81-bfb7-44eb-8594-4e74f004b6e4',"(10,)","(10,)",b'NOFX',11040,"(19,)","(19,)","(19,)",b'1a4d17798c506efdf4ed438cb65daa17',"(87,)","(87,)","(351,)","(351,)",0.0,144.50893,0.237,0.0,4,0.09300000000000001,-7.787000000000001,0,0.423,b'White Trash ......',104765,"(3,)","(3,)","(576,)","(576,)","(576,)","(576,)","(576, 12)","(576,)","(576, 12)","(100,)",0.6712360269845353,b'SOPIKEG12A58291636',140.05700000000002,"(703,)","(703,)",152.622,4,0.358,b'Stickin In My Eye',1082135,b'TRAAFJW128F428A424',1992,Punk
70,22050,345476,0.4004335134580979,0.26627528554651025,b'ARNIFX51187FB418EA',,b'',,b'91a75913-4dbf-4496-bed1-7d4206c3ed22',"(0,)","(0,)",b'Xcultures',-1,"(34,)","(34,)","(34,)",b'678ee0558c50b3605a878cb1149b8a6c',"(139,)","(139,)","(561,)","(561,)",0.0,273.52771,2.177,0.0,1,0.652,-6.305,1,0.6940000000000001,b'One World One People',466577,"(7,)","(7,)","(1287,)","(1287,)","(1287,)","(1287,)","(1287, 12)","(1287,)","(1287, 12)","(100,)",0.1992382620006783,b'SOHMMMC12AB0181C42',268.893,"(1121,)","(1121,)",125.01299999999999,4,1.0,b'Sudanese Dance',5190145,b'TRAAFRU128F9339158',2000,World
73,22050,4741,0.7446412459327763,0.5799889824287546,b'ARNLO5S1187B9B80CC',,"b'Pasadena, CA'",,b'b665b768-0d83-4363-950c-31ed39317c15',"(2,)","(2,)",b'Van Halen',54598,"(22,)","(22,)","(22,)",b'7dfecc8c2cb0171084e499f3f553c7cf',"(487,)","(487,)","(487,)","(487,)",0.0,209.29261,0.0,0.0,8,0.455,-4.865,1,0.48,b'The Best Of Both Worlds',7133,"(12,)","(12,)","(723,)","(723,)","(723,)","(723,)","(723, 12)","(723,)","(723, 12)","(100,)",0.8244821296824321,b'SOLRYQR12A670215BF',206.623,"(975,)","(975,)",140.995,1,0.41,b'Panama (Remastered Album Version)',72173,b'TRAAFYL128E07856A7',0,Rock
75,22050,7338,0.9057768886660886,0.5984585009824434,b'ARK9TRQ1187B99C095',41.504709999999996,"b'Cleveland, OH'",-81.69074,b'b7ffd2af-418f-4be2-bdd1-22f8b48613da',"(12,)","(12,)",b'Nine Inch Nails',-1,"(29,)","(29,)","(29,)",b'ce020c3664096562bec86adc6eddd862',"(110,)","(110,)","(444,)","(444,)",0.0,426.89261,0.28600000000000003,0.0,0,0.05,-12.950999999999999,0,0.395,b'Things Falling Apart',15567,"(12,)","(12,)","(888,)","(888,)","(888,)","(888,)","(888, 12)","(888,)","(888, 12)","(100,)",0.6355366486226686,b'SOKBBXO12A6701DEA0',399.9,"(888,)","(888,)",63.016999999999996,4,0.37799999999999995,b'Metal',163543,b'TRAAGEC128E079252C',2000,Electronic
78,22050,14043,0.6069253585317187,0.3891007762801808,b'ARWY7I71187FB36C3D',40.71455,"b'New York, NY'",-74.00712,b'7f565c58-cf5d-441b-821f-c314ddf60c99',"(1,)","(1,)",b'Lesley Gore',-1,"(31,)","(31,)","(31,)",b'67ca96689f499db63352c7cb15a82b44',"(292,)","(292,)","(292,)","(292,)",0.0,136.48934,0.22899999999999998,0.0,9,0.386,-9.091000000000001,1,0.632,"b""60's Triple set""",26902,"(8,)","(8,)","(477,)","(477,)","(477,)","(477,)","(477, 12)","(477,)","(477, 12)","(100,)",,b'SOOOROX12A6D4F8400',130.026,"(584,)","(584,)",129.122,1,0.0,"b""It's My Party""",292256,b'TRAAGJV128F1464090',1963,Pop
85,22050,11535,0.5164437797727629,0.3866690917060239,b'ARF4V431187FB3AA41',27.94653,"b'Tampa, FL'",-82.45926999999999,b'5c1262e2-cb86-4dc9-8acf-781ff4523192',"(0,)","(0,)",b'Slim Whitman',59829,"(42,)","(42,)","(42,)",b'4bf3e42080e6a97cd1a555eff69a714a',"(73,)","(73,)","(303,)","(303,)",0.0,195.91791,0.165,0.0,3,0.883,-11.98,1,0.735,b'Country Lovers. Vol. 3',682725,"(9,)","(9,)","(557,)","(557,)","(557,)","(557,)","(557, 12)","(557,)","(557, 12)","(100,)",,b'SOTUBVH12AB018D2EC',192.08700000000002,"(910,)","(910,)",91.48700000000001,4,0.0,b'Indian Love Call',7576962,b'TRAAGPF12903CE027E',1990,Country
86,22050,21235,0.7282097070640043,0.5380702951237828,b'ARBGWMW1187B9AEA3E',,b'CA',,b'a871fd87-50f7-4032-b06d-da56779edcce',"(7,)","(7,)",b'Savage Garden',1397,"(12,)","(12,)","(12,)",b'4fff121876c0b80f09157c9028af2a7b',"(27,)","(27,)","(167,)","(167,)",0.0,118.33424,0.0,0.0,9,0.0,-11.215,0,0.0,b'Affirmation',287804,"(6,)","(6,)","(324,)","(324,)","(324,)","(324,)","(324, 12)","(324,)","(324, 12)","(100,)",,b'SOMQAGT12A8C132DB4',118.334,"(499,)","(499,)",84.69,5,0.6779999999999999,b'You Can Still Be Free',3228951,b'TRAAGPH128F4273C8D',1999,Pop
87,22050,5845,0.7986451787418826,0.5524133455169445,b'AR6G4V01187B9AD086',,b'',,b'7dc8f5bd-9d0b-4087-9f73-dc164950bbd8',"(6,)","(6,)",b'Queens Of The Stone Age',-1,"(24,)","(24,)","(24,)",b'343fb42e35d36386fc5ae5858dfa2cc2',"(139,)","(139,)","(560,)","(560,)",0.0,288.41751,0.113,0.0,2,0.08,-8.165,1,0.665,b'Lullabies To Paralyze',220917,"(11,)","(11,)","(1036,)","(1036,)","(1036,)","(1036,)","(1036, 12)","(1036,)","(1036, 12)","(100,)",0.7251212835673101,b'SOKLLOH12A67020F2C',279.17900000000003,"(1119,)","(1119,)",115.60600000000001,4,0.0,b'I Never Came',2417203,b'TRAAGPJ128F428CD1B',2005,Rock
94,22050,368,0.7431297761478142,0.4935668426965597,b'ARXWAQQ1187B9AE954',,"b'Newark, NJ'",,b'1f1f6737-b930-46fc-8d25-110bb99f7490',"(6,)","(6,)",b'Redman',-1,"(12,)","(12,)","(12,)",b'4a953b42bfeb5440d2ec314a7818dd30',"(29,)","(29,)","(177,)","(177,)",0.0,124.18567,0.0,0.0,1,0.07400000000000001,-10.296,0,0.49200000000000005,b'Malpractice',8552,"(7,)","(7,)","(567,)","(567,)","(567,)","(567,)","(567, 12)","(567,)","(567, 12)","(100,)",0.5701059300583878,b'SORWHWY12A6702038E',121.005,"(533,)","(533,)",85.008,5,1.0,b'WKYA (drop)',86269,b'TRAAHEG128E07861C3',2001,Rap
104,22050,4822,0.5781036297198625,0.4148926124367487,b'AR1RHCO1187B9AF0BF',37.77916,"b'San Francisco, CA'",-122.42005,b'05b5488d-7141-4b21-819b-d4713abf2a98',"(0,)","(0,)",b'Vince Guaraldi / Bola Sete',8349,"(39,)","(39,)","(39,)",b'3ad40aace9a1b7909657198b3e01b751',"(205,)","(205,)","(823,)","(823,)",0.0,294.66077,0.8640000000000001,0.0,5,0.23800000000000002,-15.761,0,0.07,b'From All Sides',432406,"(16,)","(16,)","(1271,)","(1271,)","(1271,)","(1271,)","(1271, 12)","(1271,)","(1271, 12)","(100,)",0.3867901771390143,b'SODLSHA12AAF3B29F2',282.564,"(1646,)","(1646,)",168.30700000000002,4,0.0,b'Choro',4819514,b'TRAAHVY128F92E25D6',0,Jazz
108,22050,2183,0.6148709339199385,0.6282464191914875,b'ARF3GX71187FB3EB66',,"b'Medicine Lodge, KS'",,b'b0a55bd8-60c7-45c1-b78e-f20e4c8adba1',"(1,)","(1,)",b'Martina McBride',7085,"(11,)","(11,)","(11,)",b'90e07d5cb1366b0aa0685177921c5c84',"(140,)","(140,)","(427,)","(427,)",0.0,261.95546,0.0,0.0,7,0.96,-13.627,1,0.634,b'Timeless',307618,"(14,)","(14,)","(659,)","(659,)","(659,)","(659,)","(659, 12)","(659,)","(659, 12)","(100,)",0.4882898760373453,b'SOGQTRZ12A8C13C8B0',253.452,"(854,)","(854,)",100.194,3,1.0,"b""I Can't Stop Loving You""",3464362,b'TRAAIAE128F42AC53D',2005,Country
109,22050,7911,0.6264363817515622,0.3742711738564048,b'AR3PN3R1187FB4CEBD',18.015710000000002,"b'Kingston, Jamaica'",-76.79731,b'2027b08d-45b1-4fb5-aa6d-f6ccc4db78e5',"(1,)","(1,)",b'Horace Andy',8567,"(48,)","(48,)","(48,)",b'50b5fb243213179f0bb2510a93ff2c48',"(109,)","(109,)","(439,)","(439,)",0.0,176.27383,0.183,0.0,2,0.171,-11.479000000000001,1,0.239,b'Feel Good All Over: Anthology 1970-1976',784530,"(8,)","(8,)","(749,)","(749,)","(749,)","(749,)","(749, 12)","(749,)","(749, 12)","(100,)",,b'SOBHVZQ12AC9618285',166.91099999999997,"(878,)","(878,)",151.911,4,0.231,b'Thank You Lord',8679507,b'TRAAIAN12903CFF16D',1985,Reggae
115,22050,1566,0.7909228479560918,0.6011849417940898,b'ARR9XGB1187B9912E6',,"b'Philadelphia, PA'",,b'b42eca0f-9381-43db-badb-1cba080a7dc2',"(1,)","(1,)",b'Boyz II Men',2800,"(21,)","(21,)","(21,)",b'de9c5e4839965bbdd3890528ed29ce14',"(155,)","(155,)","(631,)","(631,)",0.0,329.27302000000003,0.45,0.0,8,0.49700000000000005,-7.103,1,0.491,b'Legacy',523481,"(15,)","(15,)","(1023,)","(1023,)","(1023,)","(1023,)","(1023, 12)","(1023,)","(1023, 12)","(100,)",0.34580223396532944,b'SOFRAZJ12A8C143CDB',322.101,"(1262,)","(1262,)",116.473,4,1.0,b'On Bended Knee',5784762,b'TRAAIHL128F92E6DDA',1994,RnB
123,22050,7487,0.7922555897317167,0.5669715662185826,b'ARDF8K01187FB37200',,"b'Sydney, Australia'",,b'f0c8f75f-8736-4b1d-b312-9349fcff321d',"(1,)","(1,)",b'Wolfmother',-1,"(21,)","(21,)","(21,)",b'9b08f4dbc1bdbcfc83c6f2ed23ddecbd',"(96,)","(96,)","(390,)","(390,)",0.0,212.37506000000002,0.868,0.0,4,0.37200000000000005,-5.931,0,0.207,b'White Feather',722546,"(10,)","(10,)","(1039,)","(1039,)","(1039,)","(1039,)","(1039, 12)","(1039,)","(1039, 12)","(100,)",,b'SOCHXAE12AF72A25D6',209.438,"(1558,)","(1558,)",110.745,4,1.0,b'White Feather',8009167,b'TRAAIYR12903CD290D',2009,Rock
130,22050,11661,0.7033494404116145,0.4983953383497739,b'ARQOC971187B9910FA',42.73383,"b'Lansing, MI'",-84.59334,b'28f93e8a-43fa-4cfb-aea5-11252ff937ab',"(0,)","(0,)",b'The Verve Pipe',3093,"(48,)","(48,)","(48,)",b'c62eba5743cfd2c0b82e0becdbccf4d3',"(158,)","(158,)","(636,)","(636,)",0.0,292.8322,3.344,0.0,9,0.295,-4.953,1,0.196,b'Underneath',293668,"(11,)","(11,)","(792,)","(792,)","(792,)","(792,)","(792, 12)","(792,)","(792, 12)","(100,)",0.4663048307572864,b'SOOGNJP12A8C1381AD',273.589,"(1271,)","(1271,)",133.306,4,0.33799999999999997,b'Medicate Myself',3299591,b'TRAAJJG128F4284B27',2001,Rock
